Agency,Application name,Primary domain,Number of users,Number of licenses,Number of government support staff,Number of contractors,Start of use date,End of use date,is-custom,is-service,Manufacturer,Product/service name,Estimated replacement cost
DAF,Forestry GIS,"Executive, Management Information Systems",45,45,0.8,0.1,01/04/1995 0:00,1/12/2018 0:00,No,No,ArcGIS,Forestry GIS,90000
DAF,Forestry Sales Management Information Service,Case Management,50,50,1.8,Not reported,02/04/2011 0:00,1/12/2018 0:00,Yes,No,DAFF,Forestry Sales Management Information Service,170000
DAF,Ministerial and Executive Correspondence System,"Executive, Management Information Systems",167,167,0.3,1,01/01/2002 0:00,31/12/2018 0:00,Yes,No,Bay Technologies,Mincor,60000
DAF,SAP - Finance CSP 400,Receipting,50,50,0.1,0.02,02/04/2011 0:00,1/12/2018 0:00,No,No,SAP,SAP,10000
DAF,Rally,Project Portfolio Management,50,50,1.2,0.2,01/06/2014 0:00,31/12/2018 0:00,No,No,CA Technologies,Rally,22000
DAF,1Contact,Employee Administration,1000,1000,0.5,0.1,1/12/2010 0:00,31/12/2018 0:00,Yes,No,DAF (ITP),1Contact,10000
DAF,Agricultural Property System,Information Provision,117,117,0.3,0.11,01/01/2004 0:00,01/07/2019 0:00,Yes,No,DAFF,APS,960000
DAF,Animal Identification System,Customer Service and Support,50,50,1.9,0.4,01/07/1996 0:00,01/01/2019 0:00,Yes,No,Microsoft,AIS Brands/iBrands,150000
DAF,Biosecurity Surveillance (Incident Response and Tracking),Information Submission,250,250,5.2,1,01/09/2010 0:00,01/07/2018 0:00,Yes,No,Spatial Vision,BioSIRT application,920000
DAF,Clarity,Enterprise Performance Management,423,150,1.5,0.3,01/01/2000 0:00,01/07/2018 0:00,No,No,CA,Clarity,600000
DAF,Client Event Notification Tracking,Infringement Management,70,70,1.4,0.3,01/01/2009 0:00,01/07/2018 0:00,Yes,No,DAFF,CENT,180000
DAF,DataPond - Finance,"Executive, Management Information Systems",500,500,1.1,0.2,01/01/2000 0:00,01/01/2020 0:00,Yes,No,DAFF,Custom,122000
